City Name,Country,Latitude,Longitude,Humidity (%),Temperature (F),Max Temp (F),Cloudiness (%),Wind Speed (mph),Date
Katsuura,JP,35.1333,140.3,61,15.96,16.73,100,4.43,1970-01-01 00:00:01.634771769
Yazman,PK,29.1212,71.7446,21,25.46,25.46,0,6.28,1970-01-01 00:00:01.634771769
Port hardy,CA,50.6996,-127.4199,94,12.1,12.1,75,1.54,1970-01-01 00:00:01.634771769
Bonnyville,CA,54.2668,-110.735,29,9.81,9.89,6,6.86,1970-01-01 00:00:01.634771770
Ebensee,AT,47.8072,13.779,73,13.1,14.01,100,2.66,1970-01-01 00:00:01.634771771
Umm ruwabah,,,,,,,,,
Vestmannaeyjar,IS,63.4427,-20.2734,70,4.19,4.19,100,7.2,1970-01-01 00:00:01.634771771
Mocambique,,,,,,,,,
Kaoma,ZM,-14.7833,24.8,65,18.46,18.46,28,2.6,1970-01-01 00:00:01.634771772
Onega,RU,63.9061,38.1404,94,-1,-1,100,8.5,1970-01-01 00:00:01.634771772
Batouri,CM,4.4333,14.3667,99,19.25,19.25,84,1.16,1970-01-01 00:00:01.634771773
Champerico,GT,14.3,-91.9167,83,27.82,29.64,100,2.75,1970-01-01 00:00:01.634771774
Dudinka,RU,69.4058,86.1778,91,-5.86,-5.86,98,6.09,1970-01-01 00:00:01.634771774
Mnogovershinnyy,RU,53.9353,139.9242,82,-6.15,-6.15,38,2.22,1970-01-01 00:00:01.634771774
Provost,CA,52.3501,-110.2683,28,9.25,10.68,1,7.12,1970-01-01 00:00:01.634771775
Kedrovyy,RU,56.1667,91.8167,75,-5.77,-5.77,80,2.13,1970-01-01 00:00:01.634771775
Porto velho,BR,-8.7619,-63.9039,89,26.03,26.03,40,1.03,1970-01-01 00:00:01.634771776
Rosehearty,GB,57.697,-2.1132,69,3.26,4.31,95,12.55,1970-01-01 00:00:01.634771776
Mandalgovi,MN,45.7625,106.2708,55,-2,-2,0,1.89,1970-01-01 00:00:01.634771776
Lagoa,PT,39.05,-27.9833,62,20.33,20.33,43,1.49,1970-01-01 00:00:01.634771777
Hami,CN,42.8,93.45,19,13.51,13.51,100,3.59,1970-01-01 00:00:01.634771777
Flinders,AU,-34.5833,150.8552,74,20.38,21.21,39,0.89,1970-01-01 00:00:01.634771778
Yumen,CN,40.2833,97.2,30,3.16,3.16,41,3.33,1970-01-01 00:00:01.634771778
Sao filipe,CV,14.8961,-24.4956,59,27.92,27.92,0,4.54,1970-01-01 00:00:01.634771778
Caravelas,BR,-17.7125,-39.2481,88,21.62,21.62,100,7.02,1970-01-01 00:00:01.634771779
Tessalit,ML,20.1986,1.0114,22,24.3,24.3,0,4.28,1970-01-01 00:00:01.634771779
Svetlyy,RU,54.675,20.1347,69,16.03,16.03,100,9.73,1970-01-01 00:00:01.634771780
Sai buri,TH,6.7013,101.6168,89,24.28,24.28,98,2.76,1970-01-01 00:00:01.634771780
Khani,GE,41.9563,42.9566,89,4.76,4.76,42,1.56,1970-01-01 00:00:01.634771523
Moissala,TD,8.3404,17.7663,90,22,22,100,1.3,1970-01-01 00:00:01.634771781
Yulara,AU,-25.2406,130.9889,36,24.91,24.91,0,6.69,1970-01-01 00:00:01.634771781
Atar,MR,20.5169,-13.0499,16,28.3,28.3,3,4.55,1970-01-01 00:00:01.634771782
Wulanhaote,,,,,,,,,
Fare,PF,-16.7,-151.0167,80,25.95,25.95,7,3.71,1970-01-01 00:00:01.634771782
Capreol,CA,46.706,-80.9225,90,7.91,9.19,90,4.12,1970-01-01 00:00:01.634771782
Abu kamal,SY,34.4506,40.9171,37,20,20,0,3.22,1970-01-01 00:00:01.634771783
Anadyr,RU,64.75,177.4833,93,-5.72,-5.72,90,5,1970-01-01 00:00:01.634771784
Siuna,NI,13.7332,-84.7773,94,24.93,24.93,83,1.14,1970-01-01 00:00:01.634771784
Beloha,MG,-25.1667,45.05,88,20.27,20.27,99,2.79,1970-01-01 00:00:01.634771784
Marcona,,,,,,,,,
Mount barker,AU,-35.0667,138.8667,84,15.97,17.22,78,3.77,1970-01-01 00:00:01.634771785
Collierville,US,35.042,-89.6645,71,22.81,24.06,1,2.57,1970-01-01 00:00:01.634771785
Tafresh,IR,34.692,50.013,55,8.5,8.5,6,1.4,1970-01-01 00:00:01.634771786
Yanam,IN,16.7333,82.2167,96,24.33,24.33,53,0.9,1970-01-01 00:00:01.634771786
Varhaug,NO,58.6147,5.6457,89,6.62,7.75,100,10.76,1970-01-01 00:00:01.634771786
Ulladulla,AU,-35.35,150.4667,80,17.64,19.37,52,2.34,1970-01-01 00:00:01.634771787
Olinda,BR,-8.0089,-34.8553,74,27.85,27.85,20,3.6,1970-01-01 00:00:01.634771787
Tahlequah,US,35.9154,-94.97,88,20.06,22.25,90,0,1970-01-01 00:00:01.634771693
Kutum,SD,14.2,24.6667,21,24.89,24.89,89,5.88,1970-01-01 00:00:01.634771788
Bubaque,GW,11.2833,-15.8333,78,28.08,28.08,100,5.71,1970-01-01 00:00:01.634771788
Puerto del rosario,ES,28.5004,-13.8627,83,21.86,21.86,68,7.2,1970-01-01 00:00:01.634771789
Egvekinot,RU,66.3167,-179.1667,87,-5.33,-5.33,100,2.84,1970-01-01 00:00:01.634771789
Padre paraiso,BR,-17.0742,-41.4844,98,19.61,19.61,80,3.04,1970-01-01 00:00:01.634771790
Dwarka,IN,22.2394,68.9678,57,26.16,26.16,0,3.67,1970-01-01 00:00:01.634771790
Chernolesskoye,RU,44.7156,43.7133,49,4.21,4.21,1,1.44,1970-01-01 00:00:01.634771790
Bongandanga,CD,1.5,21.05,99,20.71,20.71,100,1.02,1970-01-01 00:00:01.634771791
Mattru,SL,7.6244,-11.8332,97,23.34,23.34,100,0.84,1970-01-01 00:00:01.634771791
Bayeux,BR,-7.125,-34.9322,83,27.35,27.35,40,3.6,1970-01-01 00:00:01.634771792
Nortelandia,BR,-14.4547,-56.8028,70,26.38,26.38,82,2.1,1970-01-01 00:00:01.634771792
Ito,JP,34.9667,139.0833,77,14.51,15.43,91,4.32,1970-01-01 00:00:01.634771792
Challans,FR,46.8436,-1.8749,79,13.29,13.51,53,12.33,1970-01-01 00:00:01.634771793
Meulaboh,ID,4.1363,96.1285,90,23.79,23.79,100,2.87,1970-01-01 00:00:01.634771793
